Comment,Designator,Footprint,LCSC,Quantity
100nF,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C161117,1
10k,"RV1,RV10,RV11,RV12,RV2,RV3,RV4,RV5,RV6,RV7,RV8,RV9",RK09K1130A5R,C209779,12
DRV5056A3QDBZR,"U1,U10,U11,U2,U3,U4,U5,U6,U7,U9",SOT-23,C2866615,10
CD74HC4067M,U8,SOIC-24W_7.5x15.4mm_P1.27mm,C496123,1
10nF,"C2,C25,C27,C29,C3,C31,C4,C5,C6,C7",C_0402_1005Metric,C77019,10
100nF,"C14,C15,C16,C17,C18,C19,C20,C21,C22,C23",C_0402_1005Metric,C77020,10
Conn_01x06,J1,PinHeader_1x06_P2.54mm_Vertical,,1
~,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
~,C13,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
~,R6,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
~,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
~,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
~,C9,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
~,C10,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
~,C11,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
~,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
~,C12,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
~,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
~,C8,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
~,ICLED7,1312020030000,,1
~,ICLED10,1312020030000,,1
~,ICLED8,1312020030000,,1
~,ICLED5,1312020030000,,1
~,ICLED4,1312020030000,,1
~,ICLED2,1312020030000,,1
~,ICLED1,1312020030000,,1
~,ICLED3,1312020030000,,1
~,ICLED6,1312020030000,,1
~,ICLED9,1312020030000,,1
~,R10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
~,R9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
~,C30,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
~,C28,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
Conn_01x06,J3,PinHeader_1x06_P2.54mm_Vertical,,1
Conn_01x06,J2,PinHeader_1x06_P2.54mm_Vertical,,1
~,R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
~,C26,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
~,R8,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
~,C24,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
